X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area,datazone_name
324876.5905,668990,S01008541,2.78,434,3,3,Braidburn Valley Park,2355.976881,133666.8237,Fairmilehead - 01
324875.8533,668627.241,S01008542,2.78,434,3,6,Braidburn Valley Park,3137.228434,309881.3093,Fairmilehead - 02
325162.2552,668860,S01008543,0,1,1,0,,2282.950789,108432.246,Fairmilehead - 03
325366.1742,668417.3115,S01008544,0,1,1,0,,2515.344201,162731.5761,Fairmilehead - 04
325410.72,667989.2355,S01008545,0,1,1,0,,4471.232071,403232.6424,Fairmilehead - 05
324913.6441,667592.7725,S01008546,0,1,1,0,,5643.491007,571344.0389,Fairmilehead - 06
328277.9381,667792.5,S01008547,1.71,284,2,27,,4479.990458,444435.9444,Gilmerton South and the Murrays - 01
328617.8624,667798.7135,S01008548,1.71,284,2,24,,3749.549918,263104.488,Gilmerton South and the Murrays - 02
330277.7178,668047.463,S01008549,2.5,399,3,10,"Burdiehouse Burn Valley Park inc Moredun Wood,Mortonhall Caravan Park",21197.9292,6042237.23,Gilmerton South and the Murrays - 03
326226.7641,668492.1975,S01008550,0.79,247,2,2,Mortonhall Caravan Park,4880.907844,491633.3987,Mortonhall and Anwickhill - 01
327000.8363,668505.06,S01008551,0,1,1,2,"Mortonhall Caravan Park,Burdiehouse Burn Valley Park inc Moredun Wood",2838.127731,211237.3086,Mortonhall and Anwickhill - 02
326950.5349,668220,S01008552,1.71,284,2,4,"Burdiehouse Burn Valley Park inc Moredun Wood,Mortonhall Caravan Park",2898.067529,291260.9745,Mortonhall and Anwickhill - 03
327557.6442,667898.5,S01008553,1.71,284,2,25,"Burdiehouse Burn Valley Park inc Moredun Wood,Mortonhall Caravan Park",2715.657708,141397.2283,"Gracemount, Southhouse and Burdiehouse - 01"
327686.3744,667584,S01008554,1.71,284,2,3,Burdiehouse Burn Valley Park inc Moredun Wood,3329.706551,246353.1824,"Gracemount, Southhouse and Burdiehouse - 02"
327914.2251,668093.782,S01008555,1.71,284,2,27,Burdiehouse Burn Valley Park inc Moredun Wood,2347.006293,114923.798,"Gracemount, Southhouse and Burdiehouse - 03"
327519.0823,668488.4245,S01008556,1.71,284,2,20,Burdiehouse Burn Valley Park inc Moredun Wood,1633.393582,96592.84271,"Gracemount, Southhouse and Burdiehouse - 04"
327964.8395,668552.087,S01008557,1.71,284,2,27,Burdiehouse Burn Valley Park inc Moredun Wood,4266.203209,343463.3822,"Gracemount, Southhouse and Burdiehouse - 05"
327515.9941,668832.6255,S01008558,1.71,284,2,2,Burdiehouse Burn Valley Park inc Moredun Wood,2122.731021,165316.9535,"Gracemount, Southhouse and Burdiehouse - 06"
328423.5398,668739,S01008559,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,1493.152572,108648.7867,Hyvots and Gilmerton - 01
328509.2625,668271.403,S01008560,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,1604.808594,135538.9037,Hyvots and Gilmerton - 02
328662.6105,668850,S01008561,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,2381.339244,126180.2421,Hyvots and Gilmerton - 03
328832.3911,668600.4315,S01008562,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,2527.007513,157738.1387,Hyvots and Gilmerton - 04
329084.6394,668582.012,S01008563,1.71,284,2,4,Burdiehouse Burn Valley Park inc Moredun Wood,2997.101922,146640.3079,Hyvots and Gilmerton - 05
329506.6815,668809,S01008564,0,1,1,0,,2121.191448,112350.4008,Fernieside and Moredun South - 01
329231.5291,669075.4995,S01008565,0,1,1,0,,2968.052741,217986.0013,Fernieside and Moredun South - 02
329469.0176,669360.7545,S01008566,0,1,1,0,,2317.331456,159374.9602,Fernieside and Moredun South - 03
329257.5802,669556.0005,S01008567,0,1,1,0,,2295.708773,142699.4048,Fernieside and Moredun South - 04
328965.6479,670163.5,S01008568,2.86,444,4,6,Craigmillar Castle Park inc Hawkhill,3459.56729,224381.3039,Fernieside and Moredun South - 05
328959.7735,669958,S01008569,0,1,1,0,,729.3772567,29005.56513,Moredun and Craigour - 01
329050.5254,669725.5,S01008570,0,1,1,0,,2119.109057,104035.0983,Moredun and Craigour - 02
328857.7293,669243.999,S01008571,0,1,1,0,,1910.343129,126065.5696,Moredun and Craigour - 03
328747.1869,669691.816,S01008572,0,1,1,0,,2991.947016,202060.4289,Moredun and Craigour - 04
328607.4079,669168.6105,S01008573,0,1,1,2,Burdiehouse Burn Valley Park inc Moredun Wood,2253.820127,222206.4536,Liberton East - 01
