X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area
328215.903714788,668933.653000124,S01008574,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,1585.62854994,135663.384847
327999.664388852,669270.0,S01008575,1.71,284,2,22,Burdiehouse Burn Valley Park inc Moredun Wood,2733.69583082,230384.005549
327989.300756038,669729.0,S01008576,0,1,1,2,Inch Park,2753.2808927,239455.432623
327489.522566364,669344.0,S01008577,1.71,284,2,2,Burdiehouse Burn Valley Park inc Moredun Wood,3467.24978192,269238.98651
327257.940024259,669773.99999892,S01008578,0,1,1,0,,2931.21843327,186329.871888
325754.787504686,669485.224499356,S01008579,5.88,563,5,18,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond,Mortonhall Caravan Park",12370.1672832,3543361.62236
327396.96839461,670232.0,S01008580,2.3,373,3,36,Inch Park,2130.21552464,138435.44226
327591.272511524,670071.28099906,S01008581,2.3,373,3,10,Inch Park,2236.43879901,128331.599183
327630.408359212,669802.176999336,S01008582,0,1,1,2,Inch Park,2404.84796356,165407.241477
327918.241609305,670242.99999901,S01008583,2.3,373,3,16,"Inch Park,Craigmillar Castle Park inc Hawkhill",2081.19166892,101990.343165
328295.307831102,670304.99999931,S01008584,5.16,534,5,29,"Inch Park,Craigmillar Castle Park inc Hawkhill",2583.96095608,111645.033682
328242.40148828,670651.5,S01008585,5.16,534,5,58,"Inch Park,Craigmillar Castle Park inc Hawkhill",2840.10181099,192085.967607
327963.663061475,670691.500000342,S01008586,5.16,534,5,66,"Inch Park,Craigmillar Castle Park inc Hawkhill",3062.79831353,153842.289616
326382.032286937,670722.875499203,S01008587,4.61,515,4,69,"Inch Park,Craigmillar Castle Park inc Hawkhill",8207.65316718,1364072.22139
326179.910300673,671032.499999539,S01008588,2.31,381,3,10,Hermitage of Braid/Blackford Hill & Pond,2482.45983953,140170.491193
326196.885934632,671325.804499142,S01008589,2.31,381,3,6,Hermitage of Braid/Blackford Hill & Pond,1016.09678788,56953.6476854
326362.808302426,671193.678498936,S01008590,2.31,381,3,6,Hermitage of Braid/Blackford Hill & Pond,1635.5085816,75495.6272273
326593.046634756,671309.199501053,S01008591,0,1,1,1,Hermitage of Braid/Blackford Hill & Pond,2453.13900569,97605.882021
326522.979484922,670945.0,S01008592,2.31,381,3,6,Hermitage of Braid/Blackford Hill & Pond,1458.73299696,104242.883514
326849.169537644,671057.500000109,S01008593,2.3,373,3,15,Inch Park,2477.14151602,168953.228999
327011.113576051,671377.499499541,S01008594,2.3,373,3,25,"Inch Park,Craigmillar Castle Park inc Hawkhill",3417.91200399,267231.356961
327815.717442839,671454.212001122,S01008595,5.16,534,5,62,"Inch Park,Craigmillar Castle Park inc Hawkhill",3433.49444647,271138.098417
327605.360349155,671640.593498969,S01008596,2.3,373,3,19,"Inch Park,Craigmillar Castle Park inc Hawkhill",2040.6208118,104906.178955
