datazone_code,datazone_name,greenspace_name
S01008636,Merchiston and Greenhill - 05,The Meadows and Bruntsfield Links 
S01008637,Merchiston and Greenhill - 06,The Meadows and Bruntsfield Links 
S01008638,Bruntsfield - 01,The Meadows and Bruntsfield Links 
S01008639,Bruntsfield - 02,The Meadows and Bruntsfield Links 
S01008640,Bruntsfield - 03,The Meadows and Bruntsfield Links 
S01008641,Bruntsfield - 04,The Meadows and Bruntsfield Links 
S01008642,Bruntsfield - 05,The Meadows and Bruntsfield Links 
S01008643,Bruntsfield - 06,The Meadows and Bruntsfield Links 
S01008644,Bruntsfield - 07,The Meadows and Bruntsfield Links 
S01008645,Polwarth - 01,-
S01008646,Polwarth - 02,-
S01008647,Polwarth - 03,-
S01008648,Polwarth - 04,-
S01008649,Polwarth - 05,-
S01008650,Polwarth - 06,-
S01008651,Dalry and Fountainbridge - 01,The Meadows and Bruntsfield Links 
S01008652,Dalry and Fountainbridge - 02,-
S01008653,Dalry and Fountainbridge - 03,-
S01008654,Dalry and Fountainbridge - 04,-
S01008655,Dalry and Fountainbridge - 05,-
S01008656,Dalry and Fountainbridge - 06,-
S01008657,Dalry and Fountainbridge - 07,-
S01008658,Dalry and Fountainbridge - 08,The Meadows and Bruntsfield Links 
S01008658,Dalry and Fountainbridge - 08,Princes Street Gardens East & West 
S01008659,Tollcross - 01,The Meadows and Bruntsfield Links 
S01008659,Tollcross - 01,Princes Street Gardens East & West 
S01008660,Tollcross - 02,The Meadows and Bruntsfield Links 
S01008660,Tollcross - 02,Princes Street Gardens East & West 
S01008661,Tollcross - 03,The Meadows and Bruntsfield Links 
S01008661,Tollcross - 03,Princes Street Gardens East & West 
S01008662,Tollcross - 04,The Meadows and Bruntsfield Links 
S01008662,Tollcross - 04,Princes Street Gardens East & West 
S01008663,Tollcross - 05,The Meadows and Bruntsfield Links 
S01008663,Tollcross - 05,Princes Street Gardens East & West 
S01008664,Tollcross - 06,The Meadows and Bruntsfield Links 
S01008665,Tollcross - 07,The Meadows and Bruntsfield Links 
S01008665,Tollcross - 07,Princes Street Gardens East & West 
S01008666,Meadows and Southside - 01,The Meadows and Bruntsfield Links 
S01008667,Meadows and Southside - 02,The Meadows and Bruntsfield Links 
S01008667,Meadows and Southside - 02,Princes Street Gardens East & West 
S01008667,Meadows and Southside - 02,Holyrood Park 
S01008668,Meadows and Southside - 03,The Meadows and Bruntsfield Links 
S01008668,Meadows and Southside - 03,Holyrood Park 
S01008669,Meadows and Southside - 04,The Meadows and Bruntsfield Links 
S01008669,Meadows and Southside - 04,Holyrood Park 
S01008670,Meadows and Southside - 05,The Meadows and Bruntsfield Links 
S01008670,Meadows and Southside - 05,Holyrood Park 
S01008671,Meadows and Southside - 06,The Meadows and Bruntsfield Links 
S01008671,Meadows and Southside - 06,Holyrood Park 
S01008672,Meadows and Southside - 07,The Meadows and Bruntsfield Links 
S01008672,Meadows and Southside - 07,Holyrood Park 
S01008673,Meadows and Southside - 08,The Meadows and Bruntsfield Links 
S01008673,Meadows and Southside - 08,Princes Street Gardens East & West 
S01008673,Meadows and Southside - 08,Holyrood Park 
S01008674,"Old Town, Princes Street and Leith Street - 01",The Meadows and Bruntsfield Links 
S01008674,"Old Town, Princes Street and Leith Street - 01",Princes Street Gardens East & West 
S01008675,"Old Town, Princes Street and Leith Street - 02",The Meadows and Bruntsfield Links 
S01008675,"Old Town, Princes Street and Leith Street - 02",Princes Street Gardens East & West 
S01008676,"Old Town, Princes Street and Leith Street - 03",Princes Street Gardens East & West 
S01008676,"Old Town, Princes Street and Leith Street - 03",Holyrood Park 
S01008677,"Old Town, Princes Street and Leith Street - 04",Princes Street Gardens East & West 
S01008677,"Old Town, Princes Street and Leith Street - 04",Holyrood Park 
S01008678,"Old Town, Princes Street and Leith Street - 05",The Meadows and Bruntsfield Links 
S01008678,"Old Town, Princes Street and Leith Street - 05",Princes Street Gardens East & West 
S01008678,"Old Town, Princes Street and Leith Street - 05",Holyrood Park 
S01008679,"Old Town, Princes Street and Leith Street - 06",The Meadows and Bruntsfield Links 
S01008679,"Old Town, Princes Street and Leith Street - 06",Princes Street Gardens East & West 
S01008679,"Old Town, Princes Street and Leith Street - 06",Holyrood Park 
S01008680,"Canongate, Southside and Dumbiedykes - 01",The Meadows and Bruntsfield Links 
S01008680,"Canongate, Southside and Dumbiedykes - 01",Holyrood Park 
S01008681,"Canongate, Southside and Dumbiedykes - 02",The Meadows and Bruntsfield Links 
S01008681,"Canongate, Southside and Dumbiedykes - 02",Holyrood Park 
S01008682,"Canongate, Southside and Dumbiedykes - 03",The Meadows and Bruntsfield Links 
S01008682,"Canongate, Southside and Dumbiedykes - 03",Holyrood Park 
S01008682,"Canongate, Southside and Dumbiedykes - 03",Duddingston Loch and Bird Sanctuary 
S01008683,"Canongate, Southside and Dumbiedykes - 04",The Meadows and Bruntsfield Links 
S01008683,"Canongate, Southside and Dumbiedykes - 04",Holyrood Park 
S01008684,"Canongate, Southside and Dumbiedykes - 05",The Meadows and Bruntsfield Links 
S01008684,"Canongate, Southside and Dumbiedykes - 05",Holyrood Park 
S01008684,"Canongate, Southside and Dumbiedykes - 05",Duddingston Loch and Bird Sanctuary 
S01008684,"Canongate, Southside and Dumbiedykes - 05",Meadowfield Park 
S01008685,"Canongate, Southside and Dumbiedykes - 06",Holyrood Park 
S01008686,Abbeyhill - 01,Holyrood Park 
S01008687,Abbeyhill - 02,Holyrood Park 
S01008688,Abbeyhill - 03,Holyrood Park 
S01008689,Meadowbank and Abbeyhill North - 01,Holyrood Park 
S01008690,Meadowbank and Abbeyhill North - 02,Holyrood Park 
S01008691,Meadowbank and Abbeyhill North - 03,Holyrood Park 
S01008692,Meadowbank and Abbeyhill North - 04,Holyrood Park 
S01008693,Meadowbank and Abbeyhill North - 05,Holyrood Park 
S01008694,Willowbrae and Duddingston Village - 01,Holyrood Park 
S01008694,Willowbrae and Duddingston Village - 01,Meadowfield Park 
S01008695,Willowbrae and Duddingston Village - 02,Holyrood Park 
S01008695,Willowbrae and Duddingston Village - 02,Meadowfield Park 
S01008696,Willowbrae and Duddingston Village - 03,Holyrood Park 
S01008696,Willowbrae and Duddingston Village - 03,Meadowfield Park 
S01008697,Willowbrae and Duddingston Village - 04,Holyrood Park 
S01008697,Willowbrae and Duddingston Village - 04,Meadowfield Park 
S01008698,Willowbrae and Duddingston Village - 05,Holyrood Park 
S01008698,Willowbrae and Duddingston Village - 05,Meadowfield Park 
S01008698,Willowbrae and Duddingston Village - 05,Figgate Burn Park 
S01008699,Willowbrae and Duddingston Village - 06,Duddingston Loch and Bird Sanctuary 
S01008699,Willowbrae and Duddingston Village - 06,Holyrood Park 
S01008699,Willowbrae and Duddingston Village - 06,Meadowfield Park 
S01008700,Willowbrae and Duddingston Village - 07,Holyrood Park 
S01008700,Willowbrae and Duddingston Village - 07,Duddingston Loch and Bird Sanctuary 
S01008700,Willowbrae and Duddingston Village - 07,Craigmillar Castle Park inc Hawkhill 
S01008700,Willowbrae and Duddingston Village - 07,Jewel Park 
S01008700,Willowbrae and Duddingston Village - 07,Meadowfield Park 
S01008701,Craigmillar - 01,Craigmillar Castle Park inc Hawkhill 
S01008701,Craigmillar - 01,Duddingston Loch and Bird Sanctuary 
S01008701,Craigmillar - 01,Jewel Park 
S01008702,Craigmillar - 02,Craigmillar Castle Park inc Hawkhill 
S01008702,Craigmillar - 02,Duddingston Loch and Bird Sanctuary 
S01008702,Craigmillar - 02,Jewel Park 
S01008703,Craigmillar - 03,Craigmillar Castle Park inc Hawkhill 
S01008703,Craigmillar - 03,Duddingston Loch and Bird Sanctuary 
S01008704,Craigmillar - 04,Inch Park 
S01008704,Craigmillar - 04,Craigmillar Castle Park inc Hawkhill 
S01008704,Craigmillar - 04,Duddingston Loch and Bird Sanctuary 
S01008704,Craigmillar - 04,Hunters Hall Park (JKC) 
S01008704,Craigmillar - 04,Jewel Park 
S01008705,Craigmillar - 05,Craigmillar Castle Park inc Hawkhill 
